monyear	month	year	abortion_deaths
Apr 2008	Apr	2008	3
May 2008	May	2008	5
Jun 2008	Jun	2008	8
Jul 2008	Jul	2008	57
Aug 2008	Aug	2008	6
Sep 2008	Sep	2008	6
Oct 2008	Oct	2008	6
Nov 2008	Nov	2008	48
Dec 2008	Dec	2008	30
Jan 2009	Jan	2009	23
Feb 2009	Feb	2009	19
Mar 2009	Mar	2009	37
Apr 2009	Apr	2009	21
May 2009	May	2009	61
Jun 2009	Jun	2009	39
Jul 2009	Jul	2009	35
Aug 2009	Aug	2009	93
Sep 2009	Sep	2009	36
Oct 2009	Oct	2009	34
Nov 2009	Nov	2009	81
Dec 2009	Dec	2009	25
Jan 2010	Jan	2010	53
Feb 2010	Feb	2010	42
Mar 2010	Mar	2010	29
Apr 2010	Apr	2010	13
May 2010	May	2010	30
Jun 2010	Jun	2010	42
Jul 2010	Jul	2010	40
Aug 2010	Aug	2010	42
Sep 2010	Sep	2010	27
Oct 2010	Oct	2010	29
Nov 2010	Nov	2010	69
Dec 2010	Dec	2010	73
Jan 2011	Jan	2011	46
Feb 2011	Feb	2011	19
Mar 2011	Mar	2011	22
Apr 2011	Apr	2011	20
May 2011	May	2011	21
Jun 2011	Jun	2011	30
Jul 2011	Jul	2011	45
Aug 2011	Aug	2011	31
Sep 2011	Sep	2011	33
Oct 2011	Oct	2011	18
Nov 2011	Nov	2011	27
Dec 2011	Dec	2011	28
Jan 2012	Jan	2012	24
Feb 2012	Feb	2012	32
Mar 2012	Mar	2012	30
Apr 2012	Apr	2012	21
May 2012	May	2012	37
Jun 2012	Jun	2012	38
Jul 2012	Jul	2012	134
Aug 2012	Aug	2012	28
Sep 2012	Sep	2012	27
Oct 2012	Oct	2012	33
Nov 2012	Nov	2012	26
Dec 2012	Dec	2012	18
Jan 2013	Jan	2013	28
Feb 2013	Feb	2013	30
Mar 2013	Mar	2013	15
Apr 2013	Apr	2013	27
May 2013	May	2013	65
Jun 2013	Jun	2013	46
Jul 2013	Jul	2013	36
Aug 2013	Aug	2013	57
Sep 2013	Sep	2013	41
Oct 2013	Oct	2013	37
Nov 2013	Nov	2013	47
Dec 2013	Dec	2013	21
Jan 2014	Jan	2014	14
Feb 2014	Feb	2014	19
Mar 2014	Mar	2014	15
Apr 2014	Apr	2014	17
May 2014	May	2014	12
Jun 2014	Jun	2014	22
Jul 2014	Jul	2014	9
Aug 2014	Aug	2014	18
Sep 2014	Sep	2014	16
Oct 2014	Oct	2014	16
Nov 2014	Nov	2014	13
Dec 2014	Dec	2014	12
Jan 2015	Jan	2015	20
Feb 2015	Feb	2015	17
Mar 2015	Mar	2015	16
Apr 2015	Apr	2015	18
May 2015	May	2015	21
Jun 2015	Jun	2015	15
Jul 2015	Jul	2015	15
Aug 2015	Aug	2015	28
Sep 2015	Sep	2015	20
Oct 2015	Oct	2015	15
Nov 2015	Nov	2015	14
Dec 2015	Dec	2015	12
Jan 2016	Jan	2016	11
Feb 2016	Feb	2016	21
Mar 2016	Mar	2016	20
Apr 2016	Apr	2016	25
May 2016	May	2016	13
Jun 2016	Jun	2016	15
Jul 2016	Jul	2016	18
Aug 2016	Aug	2016	14
Sep 2016	Sep	2016	24
Oct 2016	Oct	2016	18
Nov 2016	Nov	2016	23
Dec 2016	Dec	2016	13
Jan 2017	Jan	2017	17
Feb 2017	Feb	2017	16
Mar 2017	Mar	2017	12
Apr 2017	Apr	2017	16
May 2017	May	2017	28
Jun 2017	Jun	2017	50
Jul 2017	Jul	2017	33
Aug 2017	Aug	2017	26
Sep 2017	Sep	2017	38
Oct 2017	Oct	2017	43
Nov 2017	Nov	2017	40
Dec 2017	Dec	2017	23
Jan 2018	Jan	2018	26
Feb 2018	Feb	2018	14
Mar 2018	Mar	2018	15
Apr 2018	Apr	2018	18
May 2018	May	2018	26
Jun 2018	Jun	2018	31
Jul 2018	Jul	2018	32
Aug 2018	Aug	2018	25
Sep 2018	Sep	2018	26
Oct 2018	Oct	2018	25
Nov 2018	Nov	2018	18
Dec 2018	Dec	2018	22
Jan 2019	Jan	2019	20
Feb 2019	Feb	2019	40
Mar 2019	Mar	2019	33
Apr 2019	Apr	2019	16
May 2019	May	2019	12
Jun 2019	Jun	2019	15
Jul 2019	Jul	2019	14
Aug 2019	Aug	2019	30
Sep 2019	Sep	2019	18
Oct 2019	Oct	2019	26
Nov 2019	Nov	2019	30
Dec 2019	Dec	2019	20
Jan 2020	Jan	2020	22
Feb 2020	Feb	2020	23
Mar 2020	Mar	2020	20
Apr 2020	Apr	2020	12
May 2020	May	2020	21
Jun 2020	Jun	2020	27
Jul 2020	Jul	2020	24
Aug 2020	Aug	2020	31
Sep 2020	Sep	2020	51
Oct 2020	Oct	2020	27
Nov 2020	Nov	2020	50
Dec 2020	Dec	2020	24
Jan 2021	Jan	2021	24
Feb 2021	Feb	2021	31
Mar 2021	Mar	2021	74
Apr 2021	Apr	2021	15
May 2021	May	2021	35
Jun 2021	Jun	2021	20
Jul 2021	Jul	2021	32
Aug 2021	Aug	2021	23
Sep 2021	Sep	2021	32
Oct 2021	Oct	2021	18
Nov 2021	Nov	2021	17
Dec 2021	Dec	2021	14
Jan 2022	Jan	2022	22
Feb 2022	Feb	2022	26
Mar 2022	Mar	2022	57
Apr 2022	Apr	2022	24
May 2022	May	2022	11
Jun 2022	Jun	2022	26
Jul 2022	Jul	2022	28
Aug 2022	Aug	2022	45
Sep 2022	Sep	2022	25
Oct 2022	Oct	2022	22
Nov 2022	Nov	2022	18
Dec 2022	Dec	2022	13
Jan 2023	Jan	2023	18
Feb 2023	Feb	2023	29
Mar 2023	Mar	2023	23
